"fdc_id","food_code","wweia_category_code","start_date","end_date"
"336229","11514140","1208","2013-01-01","2014-12-31"
"336230","11514150","1404","2013-01-01","2014-12-31"
"336231","11514310","1208","2013-01-01","2014-12-31"
"336232","11514320","1202","2013-01-01","2014-12-31"
"336233","11514330","1204","2013-01-01","2014-12-31"
"336234","11514340","1206","2013-01-01","2014-12-31"
"336235","11514350","1208","2013-01-01","2014-12-31"
"336236","11514360","1404","2013-01-01","2014-12-31"
"336237","11519040","1204","2013-01-01","2014-12-31"
"336238","11519050","1202","2013-01-01","2014-12-31"
"336239","11519105","1204","2013-01-01","2014-12-31"
"336240","11519200","1206","2013-01-01","2014-12-31"
"336241","11519205","1208","2013-01-01","2014-12-31"
"336242","11519215","1404","2013-01-01","2014-12-31"
"336243","11525000","1204","2013-01-01","2014-12-31"
"336244","11526000","1204","2013-01-01","2014-12-31"
"336245","11531000","1402","2013-01-01","2014-12-31"
"336246","11531500","1402","2013-01-01","2014-12-31"
"336247","11541110","1402","2013-01-01","2014-12-31"
"336248","11541120","1402","2013-01-01","2014-12-31"
"336249","11541130","1402","2013-01-01","2014-12-31"
"336250","11541135","1402","2013-01-01","2014-12-31"
"336251","11541400","1402","2013-01-01","2014-12-31"
"336252","11542100","1402","2013-01-01","2014-12-31"
"336253","11542200","1402","2013-01-01","2014-12-31"
"336254","11543000","1402","2013-01-01","2014-12-31"
"336255","11543010","1402","2013-01-01","2014-12-31"
"336256","11551050","7220","2013-01-01","2014-12-31"
"336257","11553100","7220","2013-01-01","2014-12-31"
"336258","11553110","7220","2013-01-01","2014-12-31"
"336259","11553120","7220","2013-01-01","2014-12-31"
"336260","11553130","7220","2013-01-01","2014-12-31"
"336261","11560000","1402","2013-01-01","2014-12-31"
"336262","11710000","9402","2013-01-01","2014-12-31"
"336263","11710050","9402","2013-01-01","2014-12-31"
"336264","11710051","9402","2013-01-01","2014-12-31"
"336265","11710053","9404","2013-01-01","2014-12-31"
"336266","11710054","9404","2013-01-01","2014-12-31"
"336267","11710055","9404","2013-01-01","2014-12-31"
"336268","11710056","9404","2013-01-01","2014-12-31"
"336269","11710350","9402","2013-01-01","2014-12-31"
"336270","11710351","9402","2013-01-01","2014-12-31"
"336271","11710352","9406","2013-01-01","2014-12-31"
"336272","11710353","9404","2013-01-01","2014-12-31"
"336273","11710354","9406","2013-01-01","2014-12-31"
"336274","11710355","9406","2013-01-01","2014-12-31"
"336275","11710356","9406","2013-01-01","2014-12-31"
"336276","11710357","9404","2013-01-01","2014-12-31"
"336277","11710358","9404","2013-01-01","2014-12-31"
"336278","11710359","9404","2013-01-01","2014-12-31"
"336279","11710360","9402","2013-01-01","2014-12-31"
"336280","11710361","9402","2013-01-01","2014-12-31"
"336281","11710363","9404","2013-01-01","2014-12-31"
"336282","11710367","9404","2013-01-01","2014-12-31"
"336283","11710368","9404","2013-01-01","2014-12-31"
"336284","11710369","9404","2013-01-01","2014-12-31"
"336285","11710370","9402","2013-01-01","2014-12-31"
"336286","11710371","9402","2013-01-01","2014-12-31"
"336287","11710372","9406","2013-01-01","2014-12-31"
"336288","11710373","9404","2013-01-01","2014-12-31"
"336289","11710374","9406","2013-01-01","2014-12-31"
"336290","11710375","9406","2013-01-01","2014-12-31"
"336291","11710376","9406","2013-01-01","2014-12-31"
"336292","11710377","9404","2013-01-01","2014-12-31"
"336293","11710378","9404","2013-01-01","2014-12-31"
"336294","11710379","9404","2013-01-01","2014-12-31"
"336295","11710380","9402","2013-01-01","2014-12-31"
"336296","11710381","9402","2013-01-01","2014-12-31"
"336297","11710383","9404","2013-01-01","2014-12-31"
"336298","11710387","9404","2013-01-01","2014-12-31"
"336299","11710388","9404","2013-01-01","2014-12-31"
"336300","11710389","9404","2013-01-01","2014-12-31"
"336301","11710470","9402","2013-01-01","2014-12-31"
"336302","11710471","9402","2013-01-01","2014-12-31"
"336303","11710473","9404","2013-01-01","2014-12-31"
"336304","11710477","9404","2013-01-01","2014-12-31"
"336305","11710478","9404","2013-01-01","2014-12-31"
"336306","11710479","9404","2013-01-01","2014-12-31"
"336307","11710480","9402","2013-01-01","2014-12-31"
"336308","11710481","9404","2013-01-01","2014-12-31"
"336309","11710482","9404","2013-01-01","2014-12-31"
"336310","11710483","9404","2013-01-01","2014-12-31"
"336311","11710484","9404","2013-01-01","2014-12-31"
"336312","11710620","9402","2013-01-01","2014-12-31"
"336313","11710621","9402","2013-01-01","2014-12-31"
"336314","11710626","9404","2013-01-01","2014-12-31"
"336315","11710627","9404","2013-01-01","2014-12-31"
"336316","11710628","9404","2013-01-01","2014-12-31"
"336317","11710629","9404","2013-01-01","2014-12-31"
"336318","11710630","9402","2013-01-01","2014-12-31"
"336319","11710631","9402","2013-01-01","2014-12-31"
"336320","11710632","9406","2013-01-01","2014-12-31"
"336321","11710633","9406","2013-01-01","2014-12-31"
"336322","11710634","9406","2013-01-01","2014-12-31"
"336323","11710635","9406","2013-01-01","2014-12-31"
"336324","11710636","9404","2013-01-01","2014-12-31"
"336325","11710637","9404","2013-01-01","2014-12-31"
"336326","11710638","9404","2013-01-01","2014-12-31"
"336327","11710639","9404","2013-01-01","2014-12-31"
"336328","11710640","9402","2013-01-01","2014-12-31"
"336329","11710642","9406","2013-01-01","2014-12-31"
"336330","11710643","9404","2013-01-01","2014-12-31"
"336331","11710644","9406","2013-01-01","2014-12-31"
"336332","11710645","9406","2013-01-01","2014-12-31"
"336333","11710646","9406","2013-01-01","2014-12-31"
"336334","11710647","9404","2013-01-01","2014-12-31"
"336335","11710648","9404","2013-01-01","2014-12-31"
"336336","11710649","9404","2013-01-01","2014-12-31"
"336337","11710650","9402","2013-01-01","2014-12-31"
"336338","11710651","9402","2013-01-01","2014-12-31"
"336339","11710652","9406","2013-01-01","2014-12-31"
"336340","11710653","9404","2013-01-01","2014-12-31"
"336341","11710654","9406","2013-01-01","2014-12-31"
"336342","11710655","9406","2013-01-01","2014-12-31"
"336343","11710656","9406","2013-01-01","2014-12-31"
"336344","11710657","9404","2013-01-01","2014-12-31"
"336345","11710658","9404","2013-01-01","2014-12-31"
"336346","11710659","9404","2013-01-01","2014-12-31"
"336347","11710660","9402","2013-01-01","2014-12-31"
"336348","11710661","9402","2013-01-01","2014-12-31"
"336349","11710663","9404","2013-01-01","2014-12-31"
"336350","11710664","9404","2013-01-01","2014-12-31"
"336351","11710665","9402","2013-01-01","2014-12-31"
"336352","11710666","9402","2013-01-01","2014-12-31"
"336353","11710667","9404","2013-01-01","2014-12-31"
"336354","11710668","9404","2013-01-01","2014-12-31"
"336355","11710669","9404","2013-01-01","2014-12-31"
"336356","11710670","9402","2013-01-01","2014-12-31"
"336357","11710671","9402","2013-01-01","2014-12-31"
"336358","11710673","9404","2013-01-01","2014-12-31"
"336359","11710674","9404","2013-01-01","2014-12-31"
"336360","11710675","9404","2013-01-01","2014-12-31"
"336361","11710676","9404","2013-01-01","2014-12-31"
"336362","11710677","9404","2013-01-01","2014-12-31"
"336363","11710678","9404","2013-01-01","2014-12-31"
"336364","11710679","9404","2013-01-01","2014-12-31"
"336365","11710680","9402","2013-01-01","2014-12-31"
"336366","11710681","9402","2013-01-01","2014-12-31"
"336367","11710683","9404","2013-01-01","2014-12-31"
"336368","11710687","9404","2013-01-01","2014-12-31"
"336369","11710688","9404","2013-01-01","2014-12-31"
"336370","11710689","9404","2013-01-01","2014-12-31"
"336371","11710690","9402","2013-01-01","2014-12-31"
"336372","11710693","9404","2013-01-01","2014-12-31"
"336373","11710697","9404","2013-01-01","2014-12-31"
"336374","11710698","9404","2013-01-01","2014-12-31"
"336375","11710699","9404","2013-01-01","2014-12-31"
"336376","11710800","9402","2013-01-01","2014-12-31"
"336377","11710801","9402","2013-01-01","2014-12-31"
"336378","11710805","9402","2013-01-01","2014-12-31"
"336379","11710806","9402","2013-01-01","2014-12-31"
"336380","11710910","9402","2013-01-01","2014-12-31"
"336381","11710911","9402","2013-01-01","2014-12-31"
"336382","11710912","9406","2013-01-01","2014-12-31"
"336383","11710913","9404","2013-01-01","2014-12-31"
"336384","11710914","9406","2013-01-01","2014-12-31"
"336385","11710915","9406","2013-01-01","2014-12-31"
"336386","11710916","9406","2013-01-01","2014-12-31"
"336387","11710917","9404","2013-01-01","2014-12-31"
"336388","11710918","9404","2013-01-01","2014-12-31"
