"id","fdc_id","name","pct_weight","is_refuse","gram_weight","data_points","min_year_acquired"
"57186","330991","Skin and separable fat","","Y","9.5","1",""
"57187","330991","Bone and cartilage","","Y","45.3","1",""
"57188","330991","Edible portion","","N","76.8","1",""
"57189","330991","Total gram weight","","N","139","1",""
"57190","330991","Separable Lean","","N","76.8","1",""
"57191","330992","Edible portion","","N","99.7","1",""
"57192","330992","Handling loss","","N","5.8","1",""
"57193","330992","Skin and separable fat","","Y","27.6","1",""
"57194","330992","Bone and cartilage","","Y","68","1",""
"57195","330992","Total gram weight","","N","201","1",""
"57196","330992","Separable Lean","","N","99.7","1",""
"57197","330993","Edible portion","","N","75.1","1",""
"57198","330993","Handling loss","","N","3.9","1",""
"57199","330993","Skin and separable fat","","Y","10.6","1",""
"57200","330993","Bone and cartilage","","Y","45","1",""
"57201","330993","Total gram weight","","N","135","1",""
"57202","330993","Separable Lean","","N","75.1","1",""
"57203","330994","Handling loss","","N","8.9","1",""
"57204","330994","Skin and separable fat","","Y","6.1","1",""
"57205","330994","Bone and cartilage","","Y","45.7","1",""
"57206","330994","Edible portion","","N","69.5","1",""
"57207","330994","Total gram weight","","N","130","1",""
"57208","330994","Separable Lean","","N","69.5","1",""
"57209","330995","Handling loss","","N","5.2","1",""
"57210","330995","Skin and separable fat","","Y","11.5","1",""
"57211","330995","Bone and cartilage","","Y","46.7","1",""
"57212","330995","Edible portion","","N","76.7","1",""
"57213","330995","Total gram weight","","N","140","1",""
"57214","330995","Separable Lean","","N","76.7","1",""
"57215","330996","Edible portion","","N","59.1","1",""
"57216","330996","Handling loss","","N","2.9","1",""
"57217","330996","Skin and separable fat","","Y","9.9","1",""
"57218","330996","Bone and cartilage","","Y","41","1",""
"57219","330996","Total gram weight","","N","113","1",""
"57220","330996","Separable Lean","","N","59.1","1",""
"57221","330997","Handling loss","","N","3.9","1",""
"57222","330997","Skin and separable fat","","Y","7.9","1",""
"57223","330997","Bone and cartilage","","Y","37","1",""
"57224","330997","Edible portion","","N","57.8","1",""
"57225","330997","Total gram weight","","N","107","1",""
"57226","330997","Separable Lean","","N","57.8","1",""
"57227","330998","Handling loss","","N","3.7","1",""
"57228","330998","Skin and separable fat","","Y","9.6","1",""
"57229","330998","Bone and cartilage","","Y","36.9","1",""
"57230","330998","Edible portion","","N","62.8","1",""
"57231","330998","Total gram weight","","N","113","1",""
"57232","330998","Separable Lean","","N","62.8","1",""
"57233","330999","Handling loss","","N","3.5","1",""
"57234","330999","Skin and separable fat","","Y","11.1","1",""
"57235","330999","Bone and cartilage","","Y","50","1",""
"57236","330999","Edible portion","","N","88.2","1",""
"57237","330999","Total gram weight","","N","153","1",""
