"fdc_id","brand_description","expiration_date","label_weight","location","acquisition_date","sales_type","sample_lot_nbr","sell_by_date","store_city","store_name","store_state","upc_code"
"321960","UNITED Q MILK 1%","2018-04-03","","PA1","2018-04-07","","39861645","","PITTSBURGH","SHOP N SAVE","PA","071580000711"
"321979","GREAT VALUE 1% MILK","2018-04-19","","KY1","2018-04-08","","A G1 21008","","HARRODSBURG","WALMART","KY","78742351889"
"322002","SHOPRITE 1% MILK","2018-04-17","","NJ1","2018-04-08","","6/1/1425","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190458011"
"322021","PRAIRIE FARMS, 1% MILK","2018-04-23","","IN1","2018-04-15","","10251855","","NEWBURGH","SCHNUCK MARKET","IN","72730232082"
"322044","SUNNYSIDE FARMS 1% MILK","2018-05-08","","CA3","2018-04-24","","L3PLT0671936","","LIVERMORE","LUCKY","CA","717544204824"
"322050","LAURA LYNN 1% MILK","2018-04-25","","GA1","2018-04-16","","E0914","","LOCUST GROVE","INGLES","GA","086854004807"
"322056","SE GROCERS 1% MILK","2018-05-07","","FL1","2018-04-23","","09551AF11297","","NEW PORT RICHEY","WINN DIXIE","FL","038259101148"
"322062","GREAT VALUE 1% MILK","2018-05-07","","TX2","2018-04-23","","223327F252","","GRAPEVINE","WALMART","TX","078742351889"
"322068","HARRIS TEETER, 1% MILK","2018-05-07","","NC2","2018-04-23","","3708705423","","CHARLOTTE","HARRIS TEETER","NC","072036631305"
"322074","LUCERNE MILK, 1%","2018-05-10","","CO1","2018-04-30","","810HB010605","","PEYTON","SAFEWAY","CO","21130070664"
"322080","STOP AND SHOP 1% MILK","2018-05-15","","NY1","2018-04-30","","1013341594258","","EAST MEADOW","STOP AND SHOP","NY","688267008658"
"322086","PRAIRIE FARMS, 1% MILK","2018-04-30","","TN","2018-04-22","","101947125JG","","MEMPHIS","TARGET","TN","072730232082"
"322106","FOOD LION 1% MILK","2018-04-24","","NC1","2018-04-16","","A0931 37102","","ROANOKE RAPIDS","FOOD LION","NC","035826089762"
"322129","BASHAS 1% MILK","2018-04-30","","AZ1","2018-04-15","","1758 MCKW","","TUCSON","BASHAS MARKET","AZ","31903035172"
"322151","LUCERNE MILK, 1%","2018-05-02","","IL","2018-04-23","","17383131128","","CHICAGO","JEWEL","IL","021130070688"
"322174","QFC 1% MILK","2018-05-12","","WA1","2018-04-29","","41451928D2","","SEATTLE","QFC","WA","11110417435"
"322183","HOOD 1% MILK","2018-05-08","","MA","2018-04-29","","802F33308","","READING","STOP AND SHOP","MA","44100102523"
"322189","KEMPS SELECT 1% MILK","2018-05-15","","MN","2018-04-29","","27168F11451CG","","MINNEAPOLIS","CUB FOODS","MN","41483022233"
"322208","MEIJER 1% MILK","2018-05-18","","MI1","2018-05-07","","26784","","COMMERCE","MEIJER","MI","41250102694"
"322230","HEB MILK, SKIM","2018-04-24","","TX1","2018-04-08","","PT11081841","","HOUSTON","HEB","TX","41220436620"
"322237","LUCERNE MILK, SKIM","2018-04-21","","CA2","2018-04-08","","1120J06-2796","","BONITA","VONS  MARKET","CA","21130070121"
"322244","MILK SKIM GREAT VALUE","2018-04-25","","NE1","2018-04-15","","45619113","","HASTINGS","WALMART","NE","78742352039"
"322250","SHOPRITE SKIM MILK","2018-04-14","","NJ1","2018-04-08","","11146","","NEW BRUNSWICK","SAKER SHOPRITE","NJ","041190458028"
"322269","UNITED SKIM MILK","2018-04-19","","PA1","2018-04-07","","3986 1743","","PITTSBURGH","SHOP N SAVE","PA","071580000919"
"322288","HYVEE SKIM MILK","2018-04-19","","IA","2018-04-07","","46-138 2320 087","","ESTHERVILLE","HYVEE FOOD STORE","IA","75450097115"
"322307","GREAT VALUE, SKIM MILK","2018-04-18","","KY1","2018-04-08","","0648 BHG21008","","HARRODSBURG","WALMART","KY","078742352039"
"322330","ALTA DENA DAIRY PURE SKIM MILK","2018-04-30","","CA1","2018-04-16","","F3 PLT06100557","","PALMDALE","WALMART","CA","041900077044"
"322350","MILK SKIM PRAIRIE FARMS","2018-04-27","","IN1","2018-04-15","","11291855","","NEWBURGH","SCHNUCK MARKET","IN","72730232167"
