"fdc_id","fdc_id_of_sample_food"
"330622","330620"
"330623","330620"
"330625","330624"
"330626","330624"
"330627","330624"
"330628","330624"
"330629","330624"
"330630","330624"
"330631","330624"
"330632","330624"
"330633","330624"
"330639","330634"
"330640","330634"
"330642","330641"
"330643","330641"
"330644","330641"
"330645","330641"
"330646","330641"
"330647","330641"
"330648","330641"
"330649","330641"
"330650","330641"
"330660","330651"
"330661","330651"
"330663","330662"
"330664","330662"
"330665","330662"
"330666","330662"
"330667","330662"
"330668","330662"
"330669","330662"
"330670","330662"
"330671","330662"
"330674","330672"
"330675","330672"
"330677","330676"
"330678","330676"
"330679","330676"
"330680","330676"
"330681","330676"
"330682","330676"
"330683","330676"
"330684","330676"
"330685","330676"
"330693","330686"
"330694","330686"
"330696","330695"
"330697","330695"
"330698","330695"
"330699","330695"
"330700","330695"
"330701","330695"
"330702","330695"
"330703","330695"
"330704","330695"
"330717","330705"
"330718","330705"
"330721","330719"
"330722","330719"
"330728","330723"
"330729","330723"
"330739","330730"
"330740","330730"
"330743","330741"
"330744","330741"
"330751","330745"
"330752","330745"
"330764","330753"
"330765","330753"
"330768","330766"
"330769","330766"
"330776","330770"
"330777","330770"
"330789","330778"
"330790","330778"
"330793","330791"
"330794","330791"
"330800","330795"
"330801","330795"
"330811","330802"
"330812","330802"
"330815","330813"
"330816","330813"
"330822","330817"
"330823","330817"
"330832","330824"
"330833","330824"
"330836","330834"
"330837","330834"
"330843","330838"
"330844","330838"
"330854","330845"
"330855","330845"
"330858","330856"
"330859","330856"
"330867","330860"
"330868","330860"
"331964","331961"
"331965","331961"
"331966","331961"
"331967","331961"
"331968","331961"
"331972","331969"
"331973","331969"
"331974","331969"
"331975","331969"
"331976","331969"
"331980","331977"
"331981","331977"
"331982","331977"
"331983","331977"
"331984","331977"
"331988","331985"
"331989","331985"
"331990","331985"
"331991","331985"
"331992","331985"
"332001","331998"
"332030","332027"
"332031","332027"
"332032","332027"
"332033","332027"
"332034","332027"
"332043","332040"
"332044","332040"
"332045","332040"
"332046","332040"
